TIME,RPM,TPS,Ponto_de_ignição,MAP,Posição_do_acelerador,Sonda_Geral,Alvo_do_malha_fechada,Sonda_Malha_Fechada,Correção_do_malha_fechada,2-step,Largada_validada,Marcha,Vazão_da_bancada_A,Fluxo_total_de_combustível,Ângulo_da_Fase_de_Injeção,Pressão_diferencial_de_combustível,Abertura_bicos_A,Tempo_de_Injeção_Banco_A,Temp._do_motor,Temp._do_Ar,Tensão_da_Bateria,Dwell_de_ignição,Eletroventilador_1_-_Enriquecimento,Pressão_de_Óleo,Pressão_de_Combustível,Nível_de_combustível,Partida_do_motor,Lenta,Primeiro_pulso_de_partida,Corte_-_Modo_de_Segurança,Sinal_de_sincronia_do_motor,Corte_na_desaceleração_(cutoff),Injeção_rápida_e_de_decaimento,Consumo_total,Consumo_medio,Consumo_instantâneo,Potência_estimada,Torque_estimado,Distância_total,Autonomia,Ajuste_ativo,Eletroventilador_1,Bomba_Combustível,Velocidade_de_tração,Velocidade_de_referência,Controle_de_tração_-_Slip,Controle_de_tração_-_Slip_rate,Delta_TPS,2-step_-_Botão,Injeção_rápida,Injeção_de_decaimento,Cutoff_de_injeção,Blip/Punta_taco,Controle_de_lenta,Injeção_pós_partida
0.490,1735,0.0,14.00,-0.16,0.0,1.132,0.000,1.134,0.00,OFF,OFF,0,5.4,5.4,366.08,3.13,5.47,3.760,70.3,29.5,13.00,2.80,0.0,1.34,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,11,44,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.530,1636,0.0,14.00,-0.17,0.0,1.108,0.000,1.111,0.00,OFF,OFF,0,5.0,5.0,371.94,3.13,5.11,3.760,70.3,29.5,12.97,2.80,0.0,1.25,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.570,1587,0.0,14.00,-0.17,0.0,1.103,0.000,1.105,0.00,OFF,OFF,0,4.9,4.9,375.29,3.14,5.01,3.760,70.3,29.5,13.01,2.80,0.0,1.30,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,44,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.610,1692,0.0,14.00,-0.17,0.0,1.107,0.000,1.106,0.00,OFF,OFF,0,5.2,5.2,368.46,3.13,5.30,3.760,70.3,29.4,13.00,2.80,0.0,1.37,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,11,44,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.650,1593,0.0,14.00,-0.16,0.0,1.121,0.000,1.115,0.00,OFF,OFF,0,4.9,4.9,374.04,3.13,5.04,3.760,70.3,29.4,12.98,2.80,0.0,1.22,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,44,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.690,1519,0.0,14.00,-0.16,0.0,1.129,0.000,1.124,0.00,OFF,OFF,0,4.7,4.7,379.19,3.13,4.82,3.760,70.3,29.4,12.99,2.80,0.0,1.22,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,44,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.730,1552,0.0,14.00,-0.15,0.0,1.122,0.000,1.125,0.00,OFF,OFF,0,4.8,4.8,377.79,3.13,4.89,3.760,70.3,29.4,12.98,2.80,0.0,1.19,2.98,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,44,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.770,1456,0.0,14.00,-0.16,0.0,1.115,0.000,1.115,0.00,OFF,OFF,0,4.5,4.5,383.13,3.12,4.64,3.769,70.3,29.4,12.93,2.80,0.0,1.09,2.97,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,44,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.810,1417,0.0,14.00,-0.16,0.0,1.117,0.000,1.116,0.00,OFF,OFF,0,4.3,4.3,385.91,3.14,4.42,3.735,70.3,29.3,12.96,2.80,0.0,1.06,2.98,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,8,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
0.850,1501,0.0,14.00,-0.16,0.0,1.115,0.000,1.117,0.00,OFF,OFF,0,4.6,4.6,380.75,3.13,4.66,3.722,70.4,29.3,12.98,2.80,0.0,1.16,2.98,0.0,OFF,ON,OFF,0,ON,OFF,0.000,18.20,0.1,0.0,9,43,3.5,0.0,1,OFF,ON,0.0,0.0,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,ON,ON
